"GeneID"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"Ttc39b"	1.36483096314607	5.43279263308242	68.7761683346934	1.10928036311877e-16	4.55257193949814e-14
"Atrn"	1.3842176069514	6.94787906361764	68.6890568423277	1.159361561647e-16	4.72178758767576e-14
"Anxa5"	-1.37891146780907	6.80662337482099	68.587121400656	1.22084460454172e-16	4.93452440803896e-14
"Cenpx"	-1.49705265803446	4.3841479169977	68.6264212807778	1.29814065415071e-16	5.20749611435361e-14
"Hacl1"	1.43990722576877	8.49296246415969	68.2154736470155	1.50063497025417e-16	5.97487892298288e-14
"Cyp4a32"	1.41829348772593	7.92873191932277	68.0776179289912	1.59150590279339e-16	6.28974921716559e-14
"Haus8"	-1.88001457950463	3.3828089326094	69.5342096292532	1.65153880019624e-16	6.47901100050516e-14
"Rps27l"	-1.36687174869414	6.63483748636034	67.899001433026	1.74767007553194e-16	6.80609062334714e-14
"Mxd3"	-1.80075767341273	3.42909474609048	66.5891360235953	3.42052686563791e-16	1.32243021639405e-13
"Col1a2"	-1.88375668601174	4.56450225178037	90.5188238168936	3.81814917552636e-16	1.46553750332272e-13
"Acot13"	-1.33198432695474	5.66162254464648	66.0457783244916	4.54968454884485e-16	1.733852283818e-13
"Susd4"	1.32942248789588	5.83198276191323	66.0373706063191	4.63871338668357e-16	1.73633561737073e-13
"Rnf213"	1.38083126496212	7.58252422010469	65.978336736007	4.63881202716862e-16	1.73633561737073e-13
"Etnppl"	1.33812873013983	6.31194898641943	66.0137140991619	4.65383377287151e-16	1.73633561737073e-13
"Chad"	1.48928055051498	4.23806138604652	65.3965643855081	6.15624806072845e-16	2.28093265822254e-13
"Cd81"	-1.39529423539962	8.3939315566534	64.5034209201123	9.68501612671515e-16	3.56361838212851e-13
"Mrps24"	-1.40890541126856	4.56838828757392	64.3107143878151	1.06798255796885e-15	3.90274475447344e-13
"Gm10319"	1.37045876465423	6.65881465986986	66.6997359067765	1.13307055566515e-15	4.11242948002741e-13
"Cyp4a10"	1.44467798900183	11.1580355819892	63.9141435954379	1.30603966002138e-15	4.70818472845408e-13
"Hhex"	1.32384093654705	6.61493823055413	63.8854337771162	1.39668221253566e-15	5.00115342855134e-13
"Saa3"	-3.04179023204181	1.76244900894435	63.7829397025215	1.4161861253897e-15	5.00689337114799e-13
"Gstt1"	-1.37612210279246	8.06531947119023	63.748348665292	1.42067563691535e-15	5.00689337114799e-13
"Acot1"	1.34136547739349	7.18877021350369	63.786763034157	1.42643861153917e-15	5.00689337114799e-13
